001|Professional behavior is expected at all times.
002|Lunch breaks are thirty minutes and unpaid.
003|You can reach support through the in-app chat or by calling our hotline.
004|Refer friends to earn bonuses when they complete their first shift.
005|You may opt-in for text alerts for new job opportunities.
006|Make sure you read all job instructions before arriving.
007|Make sure you read all job instructions before arriving.
008|Check in through the app once you arrive at your work location.
"009|If you experience any issues, contact Aukazi support immediately."
010|Ensure your profile is complete with accurate personal information.
011|Common issues include check-in errors or missed payments.
012|All earnings are visible in the Earnings section of the app.
013|You will receive notifications in the app about important updates.
